Commodity,WeekEnding,WeekNumber,MonthNumber,MarketYear,Country,Weekly_Exports,Accum_Exports,CMY_Outstanding_Sales,CMY_Gross_Sales,CMY_Net_Sales,CMY_Total_Commitments,NMY_Outstanding_Sales,NMY_Net_Sales,Unit_Desc
SOYBEANOIL,2009-10-29,5,01-O,2010,PANAMA,24,70,371,23,23,441,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,CUBA,0,7600,5190,0,0,12790,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,JAMAICA,0,3168,3000,0,0,6168,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,HAITI,0,3500,4773,0,0,8273,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,DOMINICAN REPUBLIC,0,6310,10000,0,0,16310,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,LEEWARD-WINDWARD ISLANDS,0,0,25,0,0,25,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,BARBADOS,0,0,15,0,0,15,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,TRINIDAD AND TOBAGO,428,552,750,428,428,1302,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,NETHERLANDS ANTILLES,0,17,0,0,0,17,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,COLOMBIA,0,0,5740,0,0,5740,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,VENEZUELA,0,6000,12000,0,0,18000,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,PERU,40000,45000,10000,0,0,55000,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,CYPRUS,0,46,0,0,0,46,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,LEBANON,0,59,132,0,0,191,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,ISRAEL,1250,1250,0,0,1250,1250,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,SAUDI ARABIA,39,309,1572,0,0,1881,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,QATAR,20,20,0,0,0,20,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,UNITED ARAB EMIRATES,0,0,20,0,0,20,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,INDIA,0,0,3300,0,0,3300,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,VIETNAM,15000,15000,0,5500,15000,15000,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,MALAYSIA,15500,15500,4000,0,15500,19500,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,SINGAPORE,0,38,0,0,0,38,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,INDONESIA,19,32,232,0,0,264,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,"CHINA, PEOPLES REPUBLIC OF",0,0,52,0,0,52,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,"KOREA, REPUBLIC OF",10000,11000,0,0,10000,11000,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,HONG KONG,19,19,3019,0,0,3038,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,AUSTRALIA,40,183,447,0,0,630,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,MOROCCO,0,14500,25500,0,0,40000,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,ALGERIA,3980,3980,0,0,3980,3980,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,TUNISIA,10000,12000,0,0,0,12000,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,GUAM,0,19,0,0,0,19,0,0,1
SOYBEANOIL,2009-10-29,5,01-O,2010,UNKNOWN,0,0,337000,0,-40250,337000,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,CANADA,810,3535,6400,0,-5,9935,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,MEXICO,1913,10852,44503,0,0,55355,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,GUATEMALA,0,1319,2221,0,0,3540,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,EL SALVADOR,19,19,0,19,19,19,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,HONDURAS,0,19,19,0,0,38,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,NICARAGUA,5400,5400,0,0,0,5400,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,PANAMA,0,70,371,0,0,441,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,CUBA,5000,12600,190,0,0,12790,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,JAMAICA,0,3168,3000,0,0,6168,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,HAITI,0,3500,4773,0,0,8273,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,DOMINICAN REPUBLIC,0,6310,21000,1000,11000,27310,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,LEEWARD-WINDWARD ISLANDS,0,0,25,0,0,25,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,BARBADOS,0,0,15,0,0,15,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,TRINIDAD AND TOBAGO,23,575,750,23,23,1325,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,NETHERLANDS ANTILLES,0,17,0,0,0,17,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,COLOMBIA,0,0,5740,0,0,5740,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,VENEZUELA,6000,12000,11000,5000,5000,23000,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,PERU,0,45000,10000,0,0,55000,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,CYPRUS,0,46,23,23,23,69,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,LEBANON,0,59,132,0,0,191,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,ISRAEL,0,1250,0,0,0,1250,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,SAUDI ARABIA,0,309,1572,0,0,1881,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,QATAR,0,20,0,0,0,20,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,UNITED ARAB EMIRATES,0,0,20,0,0,20,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,INDIA,0,0,3300,0,0,3300,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,VIETNAM,0,15000,0,0,0,15000,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,MALAYSIA,4000,19500,0,0,0,19500,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,SINGAPORE,0,38,0,0,0,38,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,INDONESIA,0,32,232,0,0,264,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,"CHINA, PEOPLES REPUBLIC OF",0,0,52,0,0,52,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,"KOREA, REPUBLIC OF",0,11000,0,0,0,11000,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,HONG KONG,0,19,10133,2114,7114,10152,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,AUSTRALIA,58,241,509,120,120,750,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,MOROCCO,0,14500,25500,0,0,40000,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,ALGERIA,4000,7980,0,0,4000,7980,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,TUNISIA,0,12000,0,0,0,12000,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,GUAM,0,19,0,0,0,19,0,0,1
SOYBEANOIL,2009-11-05,6,02-N,2010,UNKNOWN,0,0,315500,0,-21500,315500,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,CANADA,1105,4640,6977,1682,1682,11617,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,MEXICO,2315,13167,44162,1974,1974,57329,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,GUATEMALA,0,1319,2221,0,0,3540,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,EL SALVADOR,0,19,1250,1250,1250,1269,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,HONDURAS,0,19,19,0,0,38,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,NICARAGUA,0,5400,1400,1400,1400,6800,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,PANAMA,23,93,396,48,48,489,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,CUBA,0,12600,190,0,0,12790,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,JAMAICA,0,3168,3000,0,0,6168,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,HAITI,0,3500,4273,0,-500,7773,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,DOMINICAN REPUBLIC,10045,16355,11068,114,113,27423,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,LEEWARD-WINDWARD ISLANDS,0,0,25,0,0,25,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,BARBADOS,0,0,15,0,0,15,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,TRINIDAD AND TOBAGO,170,745,750,170,170,1495,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,NETHERLANDS ANTILLES,0,17,0,0,0,17,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,COLOMBIA,0,0,0,0,-5740,0,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,VENEZUELA,0,12000,11000,0,0,23000,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,PERU,0,45000,12500,2500,2500,57500,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,CYPRUS,23,69,0,0,0,69,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,LEBANON,14,73,132,14,14,205,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,ISRAEL,0,1250,0,0,0,1250,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,SAUDI ARABIA,0,309,2072,500,500,2381,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,QATAR,0,20,0,0,0,20,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,UNITED ARAB EMIRATES,0,0,20,0,0,20,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,INDIA,0,0,5300,2000,2000,5300,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,VIETNAM,0,15000,0,0,0,15000,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,MALAYSIA,0,19500,0,0,0,19500,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,SINGAPORE,0,38,0,0,0,38,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,INDONESIA,0,32,232,0,0,264,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,"CHINA, PEOPLES REPUBLIC OF",0,0,52,0,0,52,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,"KOREA, REPUBLIC OF",3000,14000,0,3000,3000,14000,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,HONG KONG,0,19,14133,4000,4000,14152,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,AUSTRALIA,59,300,488,38,38,788,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,MOROCCO,0,14500,25500,0,0,40000,0,0,1
SOYBEANOIL,2009-11-12,7,02-N,2010,ALGERIA,0,7980,0,0,0,7980,0,0,1
